SPEKAER_ID; TEXTS; FREELOCCODE; AREA; COUNTY; LOC; SPEAKER_AGE; SPEAKER_DOB; SPEAKER_DECADE; SPEKAER_SEX; REC_DATE; REC_DECADE; EEXTENT; R
WesZs ; WES_019 ; N Westmorland Ambleside ; N ; Westmorland ; Ambleside ; 82 ; 1898 ; 189 ; f ; 1980 ; 199 ; 3083
YksWF ; YKS_001 ; N Yorkshire Middlesbrough ; N ; Yorkshire ; Middlesbrough ;  ; 1910 ; 191 ; m ;  ; 198 ; 10012
YksJV ; YKS_002 ; N Yorkshire Middlesbrough ; N ; Yorkshire ; Middlesbrough ;  ; 1899 ; 189 ; m ;  ; 198 ; 9439
YksSL ; YKS_003 ; N Yorkshire Guisborough ; N ; Yorkshire ; Guisborough ;  ; 1912 ; 191 ; m ;  ; 198 ; 11899
YksEH ; YKS_004 ; N Yorkshire Guisborough ; N ; Yorkshire ; Guisborough ;  ;  ;  ; f ;  ; 198 ; 1803
YksGR ; YKS_005 ; N Yorkshire Guisborough ; N ; Yorkshire ; Guisborough ;  ;  ; 190 ; m ;  ; 198 ; 2954
YksHS ; YKS_006 ; N Yorkshire Hinderwell ; N ; Yorkshire ; Hinderwell ;  ; 1910 ; 191 ; m ;  ; 198 ; 7200
YksML ; YKS_007 ; N Yorkshire Middlesbrough ; N ; Yorkshire ; Middlesbrough ;  ; 1900 ; 190 ; m ;  ; 198 ; 11322
YksMW ; YKS_008 ; N Yorkshire Redcar ; N ; Yorkshire ; Redcar ;  ; 1900 ; 190 ; f ;  ; 198 ; 9697
YksWG ; YKS_009 ; N Yorkshire Loftus ; N ; Yorkshire ; Loftus ; 80 ;  ; 190 ; m ;  ; 198 ; 5277
YksMG ; YKS_009 ; N Yorkshire Loftus ; N ; Yorkshire ; Loftus ;  ;  ;  ; f ;  ; 198 ; 363
Yks_10 ; YKS_010 ; N Yorkshire Hebden_Bridge ; N ; Yorkshire ; Hebden_Bridge ; 85 ; 1899 ; 189 ; m ; 1984 ; 198 ; 9574
YksBR ; YKS_011 ; N Yorkshire Hebden_Bridge ; N ; Yorkshire ; Hebden_Bridge ;  ;  ;  ; m ;  ; 198 ; 3686
YksJS ; YKS_011 ; N Yorkshire Hebden_Bridge ; N ; Yorkshire ; Hebden_Bridge ;  ;  ;  ; m ;  ; 198 ; 1407
YksMR ; YKS_011 ; N Yorkshire Hebden_Bridge ; N ; Yorkshire ; Hebden_Bridge ;  ; 1912 ; 191 ; f ;  ; 198 ; 2531
YksAnon ; YKS_011 ; N Yorkshire Hebden_Bridge ; N ; Yorkshire ; Hebden_Bridge ;  ;  ;  ;  ;  ; 198 ; 282
IntHb ; YKS_011 ; N Yorkshire Hebden_Bridge ; N ; Yorkshire ; Hebden_Bridge ;  ;  ;  ; m ;  ; 198 ; 
InvWR ; INV_001 ; SCH Inverness-shire Inverness ; SCH ; Inverness-shire ; Inverness ; 45 ; 1952 ; 195 ; m ;  ; 198 ; 3126
RocAM ; ROC_001 ; SCH Ross_and_Cromarty Aultbea ; SCH ; Ross_and_Cromarty ; Aultbea ; 81 ; 1901 ; 190 ; f ; 1982 ;  ; 5685
RocPN ; ROC_002 ; SCH Ross_and_Cromarty Hill_of_Fearn ; SCH ; Ross_and_Cromarty ; Hill_of_Fearn ; 79 ; 1921 ; 192 ; m ; 2000 ; 198 ; 4446
SutDS ; SUT_001 ; SCH Sutherland Terryside ; SCH ; Sutherland ; Terryside ; 69 ; 1914 ; 191 ; m ; 1983 ; 200 ; 163
SutGM ; SUT_002 ; SCH Sutherland Boulstoer ; SCH ; Sutherland ; Boulstoer ; 61 ; 1922 ; 192 ; m ; 1983 ; 198 ; 3809
SutGMcK ; SUT_003 ; SCH Sutherland Durness ; SCH ; Sutherland ; Durness ; 82 ; 1901 ; 190 ; m ; 1983 ; 198 ; 3194
SutTR ; SUT_004 ; SCH Sutherland Assynt ; SCH ; Sutherland ; Assynt ; 54 ; 1929 ; 192 ; m ; 1983 ; 198 ; 3449
AnsJT ; ANS_001 ; SCL Angus Kirkton ; SCL ; Angus ; Kirkton ; 75 ; 1918 ; 191 ; m ; 1993 ; 198 ; 5698
AnsAN ; ANS_001 ; SCL Angus Kirkton ; SCL ; Angus ; Kirkton ;  ;  ;  ;  ; 1993 ; 198 ; 
AnsBS ; ANS_002 ; SCL Angus Forfar ; SCL ; Angus ; Forfar ; 81 ; 1919 ; 191 ; m ; 2000 ; 199 ; 1686
AnsWB ; ANS_003 ; SCL Angus Forfar ; SCL ; Angus ; Forfar ; 100 ; 1896 ; 189 ; m ; 1996 ; 200 ; 6315
AnsLC ; ANS_004 ; SCL Angus Arbroath ; SCL ; Angus ; Arbroath ; 65 ; 1928 ; 192 ; m ; 1993 ; 199 ; 2103
AnsJL ; ANS_004 ; SCL Angus Arbroath ; SCL ; Angus ; Arbroath ;  ;  ; 192 ; m ; 1993 ; 199 ; 1973
BanJS ; BAN_001 ; SCL Banffshire Keith ; SCL ; Banffshire ; Keith ; 76 ; 1914 ; 191 ; f ; 1990 ; 199 ; 5452
DfsWH ; DFS_001 ; SCL Dumfriesshire Mickle_Kirkland ; SCL ; Dumfriesshire ; Mickle_Kirkland ; 72 ; 1910 ; 191 ; m ; 1982 ; 199 ; 9269
DfsAN ; DFS_001 ; SCL Dumfriesshire Mickle_Kirkland ; SCL ; Dumfriesshire ; Mickle_Kirkland ;  ;  ;  ; f ; 1982 ; 199 ; 13
ElnCD ; ELN_001 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ; 15 ;  ;  ; f ;  ; 198 ; 603
ElnKR ; ELN_001 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ; 15 ;  ;  ; m ;  ; 198 ; 611
ElnAS ; ELN_002,ELN_003,ELN_014 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; f ;  ; 197 ; 1985
ElnAC ; ELN_002,ELN_014 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; m ;  ; 197 ; 4050
ElnGB ; ELN_003 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ; 15 ;  ;  ; m ;  ; 197 ; 657
ElnLS ; ELN_004,ELN_007,ELN_009 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ; 18 ;  ;  ; f ;  ; 197 ; 5595
ElnAB ; ELN_004,ELN_007,ELN_008,ELN_009 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; f ;  ; 197 ; 7627
ElnAG ; ELN_005,ELN_012 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; m ;  ; 197 ; 2242
ElnML ; ELN_005,ELN_012 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ; 18 ;  ;  ; f ;  ; 197 ; 1733
ElnEL ; ELN_006,ELN_011 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; f ;  ; 197 ; 2933
ElnMS ; ELN_008 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ; 18 ;  ;  ; f ;  ; 197 ; 2359
ElnIB ; ELN_010,ELN_011 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ; 17 ;  ;  ; m ;  ; 197 ; 2698
ElnSH ; ELN_013 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; f ;  ; 197 ; 444
ElnTR ; ELN_013 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; m ;  ; 197 ; 340
EdbBK ; ELN_015 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; m ;  ; 197 ; 1425
EdbIL ; ELN_015 ; SCL East_Lothian Tranent ; SCL ; East_Lothian ; Tranent ;  ;  ;  ; m ;  ; 197 ; 832
FifPS ; FIF_001 ; SCL Fife Anstruther ; SCL ; Fife ; Anstruther ; 69 ; 1914 ; 191 ; m ; 1983 ;  ; 3465
KcdRS ; KCD_001 ; SCL Kincardineshire Gourdon ; SCL ; Kincardineshire ; Gourdon ; 71 ; 1924 ; 192 ; m ; 1995 ; 198 ; 5426
KcdES ; KCD_001 ; SCL Kincardineshire Gourdon ; SCL ; Kincardineshire ; Gourdon ;  ;  ;  ; f ; 1995 ; 198 ; 1666
KrsWS ; KRS_001 ; SCL Kinross-shire Crook-o-Devon ; SCL ; Kinross-shire ; Crook-o-Devon ; 69 ; 1917 ; 191 ; m ; 1986 ; 199 ; 2218
LksGH ; LKS_001 ; SCL Lanarkshire Symington ; SCL ; Lanarkshire ; Symington ; 75 ; 1910 ; 191 ; m ; 1985 ; 198 ; 3599
MlnRS ; MLN_001 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ;  ;  ; m ;  ; 198 ; 2049
MlnCM ; MLN_002 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ;  ;  ; f ;  ; 197 ; 1857
MlnAnon ; MLN_002 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ;  ;  ;  ;  ; 197 ; 118
MlnAA ; MLN_003 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ; 1907 ; 190 ; m ;  ; 197 ; 1796
Mln2Anon ; MLN_003 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ;  ;  ; f ;  ; 197 ; 50
MlnSM ; MLN_004 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ;  ;  ; f ;  ; 197 ; 389
MlnDM ; MLN_004 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ;  ;  ; m ;  ; 197 ; 1717
MlnJM ; MLN_005 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ;  ;  ; f ;  ; 197 ; 3299
MlnRH ; MLN_006 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ;  ;  ; m ;  ; 197 ; 6042
MlnJH ; MLN_007 ; SCL Midlothian Edinburgh ; SCL ; Midlothian ; Edinburgh ;  ; 1919 ; 191 ; m ;  ; 197 ; 12850
PeeJP ; PEE_001 ; SCL Peebleshire West_Linton ; SCL ; Peebleshire ; West_Linton ; 33 ; 1952 ; 195 ; m ; 1985 ; 197 ; 2185
PeeMT ; PEE_002 ; SCL Peebleshire Nether_Urd ; SCL ; Peebleshire ; Nether_Urd ; 79 ; 1905 ; 190 ; f ; 1984 ; 198 ; 12399
PerSS ; PER_001 ; SCL Perthshire Perth ; SCL ; Perthshire ; Perth ; 84 ; 1902 ; 190 ; m ; 1986 ; 198 ; 3713
PerTJ ; PER_002 ; SCL Perthshire Abernethy ; SCL ; Perthshire ; Abernethy ;  ;  ;  ; m ; 1986 ; 198 ; 2219
PerAB ; PER_003 ; SCL Perthshire Perth ; SCL ; Perthshire ; Perth ; 80 ; 1913 ; 191 ; m ; 1993 ; 198 ; 8362
PerHK ; PER_004 ; SCL Perthshire Perth ; SCL ; Perthshire ; Perth ; 73 ; 1913 ; 191 ; m ; 1986 ; 199 ; 4721
PerWM ; PER_005 ; SCL Perthshire Crieff ; SCL ; Perthshire ; Crieff ;  ; 1893 ; 189 ; m ;  ; 198 ; 67
PerWG ; PER_005 ; SCL Perthshire Crieff ; SCL ; Perthshire ; Crieff ;  ;  ;  ; m ;  ; 198 ; 1463
SelJB ; SEL_001 ; SCL Selkirkshire Selkirk ; SCL ; Selkirkshire ; Selkirk ; 82 ; 1902 ; 190 ; m ; 1984 ; 198 ; 4357
SelJM ; SEL_002 ; SCL Selkirkshire Ettrick ; SCL ; Selkirkshire ; Ettrick ; 59 ; 1926 ; 192 ; m ; 1985 ; 198 ; 2883
SelAN ; SEL_003 ; SCL Selkirkshire Yarrow ; SCL ; Selkirkshire ; Yarrow ;  ; 1931 ; 193 ; m ;  ; 198 ; 1792
WlnTW ; WLN_001 ; SCL West_Lothian Falkirk ; SCL ; West_Lothian ; Falkirk ; 60 ; 1927 ; 192 ; m ; 1987 ; 198 ; 1789
WlnMO ; WLN_002 ; SCL West_Lothian Falkirk ; SCL ; West_Lothian ; Falkirk ;  ;  ;  ; f ; 1984 ; 198 ; 1961
WlnMD ; WLN_003,WLN_004 ; SCL West_Lothian Falkirk ; SCL ; West_Lothian ; Falkirk ; 83 ; 1908 ; 190 ; f ; 1991 ; 198 ; 8980
WlnES ; WLN_005,WLN_006 ; SCL West_Lothian Falkirk ; SCL ; West_Lothian ; Falkirk ; 57 ; 1931 ; 193 ; m ; 1988 ; 199 ; 3879
JC ; KEN_001 ; SE Kent Whitstable ; SE ; Kent ; Whitstable ; 89 ; 1886 ; 188 ; m ; 1975 ; 198 ; 9505
FK ; KEN_002 ; SE Kent Faversham ; SE ; Kent ; Faversham ; 88 ; 1887 ; 188 ; m ; 1975 ; 197 ; 13899
HM ; KEN_003 ; SE Kent Faversham ; SE ; Kent ; Faversham ; 85 ; 1890 ; 189 ; m ; 1975 ; 197 ; 42253
KentPB ; KEN_004,KEN_010,KEN_011 ; SE Kent Tenterden ; SE ; Kent ; Tenterden ; 87 ; 1889 ; 188 ; m ; 1976 ; 197 ; 42301
KentTAD ; KEN_005 ; SE Kent Sheerness ; SE ; Kent ; Sheerness ; 86 ; 1890 ; 189 ; m ; 1976 ; 197 ; 10491
WS ; KEN_006 ; SE Kent Sittingbourne ; SE ; Kent ; Sittingbourne ; 84 ; 1892 ; 189 ; m ; 1976 ; 197 ; 11954
KentEDG ; KEN_007 ; SE Kent Lydd ; SE ; Kent ; Lydd ; 81 ; 1895 ; 189 ; m ; 1976 ; 197 ; 13795
WG ; KEN_007 ; SE Kent Lydd ; SE ; Kent ; Lydd ;  ;  ;  ; f ; 1976 ; 197 ; 586
KentSPR ; KEN_008 ; SE Kent Lydd ; SE ; Kent ; Lydd ; 83 ; 1893 ; 189 ; m ; 1976 ; 197 ; 17588
KentAW1 ; KEN_009 ; SE Kent Faversham ; SE ; Kent ; Faversham ; 81 ; 1894 ; 189 ; m ; 1975 ; 197 ; 12085
CA ; LND_001 ; SE London London_North ; SE ; London ; London_North ; 61 ; 1917 ; 191 ; m ; 1978 ; 197 ; 17121
EB ; LND_002 ; SE London London_North ; SE ; London ; London_North ; 56 ; 1926 ; 192 ; f ; 1982 ; 197 ; 15286
BHu ; LND_002 ; SE London London_North ; SE ; London ; London_North ;  ;  ;  ; m ; 1982 ; 197 ; 512
FM ; LND_003 ; SE London London_North ; SE ; London ; London_North ; 67 ; 1914 ; 191 ; f ; 1981 ; 198 ; 13978
JG ; LND_004 ; SE London London_North ; SE ; London ; London_North ; 66 ; 1916 ; 191 ; m ; 1982 ; 198 ; 15371
D ; LND_004,SOM_030 ; SE London London_North ; SE ; London ; London_North ;  ;  ;  ; f ; 1982 ; 198 ; 340
DG ; LND_004 ; SE London London_North ; SE ; London ; London_North ;  ;  ;  ; f ; 1982 ; 198 ; 40
DL ; LND_004 ; SE London London_North ; SE ; London ; London_North ;  ;  ;  ; f ; 1982 ; 198 ; 380
CG ; LND_004 ; SE London London_North ; SE ; London ; London_North ;  ;  ;  ;  ; 1982 ; 198 ; 514
LA ; LND_005 ; SE London London_North ; SE ; London ; London_North ; 80 ; 1901 ; 190 ; f ; 1981 ; 198 ; 12554
DA ; LND_005 ; SE London London_North ; SE ; London ; London_North ;  ;  ;  ; f ; 1981 ; 198 ; 
GA ; LND_006,LND_007 ; SE London Poplar-London_Port ; SE ; London ; Poplar-London_Port ; 61 ; 1924 ; 192 ; m ; 1985 ; 198 ; 30898
MdxCG ; MDX_001 ; SE Middlesex Pinner ; SE ; Middlesex ; Pinner ; 79 ; 1897 ; 189 ; m ; 1976 ; 198 ; 13691
CP ; MDX_002 ; SE Middlesex Pinner ; SE ; Middlesex ; Pinner ; 70 ; 1905 ; 190 ; m ; 1975 ; 197 ; 17389
AnnieShort ; SFK_001 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ;  ;  ;  ; f ;  ; 197 ; 9906
EAA1 ; SFK_002 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 74 ; 1902 ; 190 ; m ; 1976 ;  ; 7690
EF1 ; SFK_003 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 79 ; 1898 ; 189 ; m ; 1977 ; 197 ; 8058
ELF ; SFK_004 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 71 ; 1905 ; 190 ; m ; 1976 ; 197 ; 12222
HED ; SFK_005 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 77 ; 1900 ; 190 ; m ; 1977 ; 197 ; 14808
EJM ; SFK_006 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 80 ; 1896 ; 189 ; m ; 1976 ; 197 ; 7383
RR1 ; SFK_007 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 70 ; 1906 ; 190 ; m ; 1976 ; 197 ; 8367
REK ; SFK_008 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 92 ; 1884 ; 188 ; m ; 1976 ; 197 ; 2078
JR1 ; SFK_009,SFK_027 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 50 ; 1926 ; 192 ; m ; 1976 ; 197 ; 12023
GCS ; SFK_010 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 73 ; 1903 ; 190 ; m ; 1976 ; 197 ; 7774
JRS ; SFK_011 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 85 ; 1891 ; 189 ; m ; 1976 ; 197 ; 10072
WT ; SFK_012,SFK_036 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 68 ; 1908 ; 190 ; m ; 1976 ; 197 ; 17349
HJT1 ; SFK_013 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 72 ; 1904 ; 190 ; m ; 1976 ; 197 ; 8865
SufEAA2 ; SFK_014 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 74 ; 1902 ; 190 ;  ; 1978 ; 197 ; 8851
SufEAA3 ; SFK_015 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 75 ; 1902 ; 190 ; m ; 1977 ; 197 ; 7930
SufEAA4 ; SFK_016 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 75 ; 1902 ; 190 ; m ; 1977 ; 197 ; 8424
SufHFJE ; SFK_017 ; SE Suffolk Yarmouth ; SE ; Suffolk ; Yarmouth ; 67 ; 1912 ; 191 ; m ; 1979 ; 197 ; 8054
SufEF2 ; SFK_018 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 79 ; 1898 ; 189 ; m ; 1977 ; 197 ; 7636
EJF ; SFK_019 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 64 ; 1912 ; 191 ; m ; 1976 ; 197 ; 4033
SufGFK ; SFK_020 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 74 ; 1907 ; 190 ; m ; 1981 ; 197 ; 7192
SufHED2 ; SFK_021 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 78 ; 1900 ; 190 ; m ; 1978 ; 198 ; 6678
SufHED3 ; SFK_022 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 77 ; 1900 ; 190 ; m ; 1978 ; 197 ; 6676
SufHED4 ; SFK_023 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 78 ; 1900 ; 190 ; m ; 1978 ; 197 ; 6518
SufWEJ1 ; SFK_024,SFK_025,SFK_026 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 73 ; 1906 ; 190 ; m ; 1978 ; 197 ; 22627
SufHJT2 ; SFK_028,SFK_029 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 73 ; 1904 ; 190 ; m ; 1977 ; 197 ; 17245
SufGCS2 ; SFK_030,SFK_033 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 75 ; 1903 ; 190 ; m ; 1978 ; 198 ; 14530
SufHED5 ; SFK_031 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 80 ; 1900 ; 190 ; m ; 1980 ; 197 ; 7177
SufWCG1 ; SFK_032 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 67 ; 1909 ; 190 ; m ; 1976 ; 198 ; 10052
SufSMW ; SFK_034 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 79 ; 1900 ; 190 ; m ; 1979 ; 198 ; 8459
SufEAA5 ; SFK_035,SFK_038 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 78 ; 1902 ; 190 ; m ; 1980 ; 197 ; 15725
HJWC ; SFK_037 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 74 ; 1902 ; 190 ; m ; 1976 ; 197 ; 9928
SufEQU ; SFK_039 ; SE Suffolk Lowestoft ; SE ; Suffolk ; Lowestoft ; 72 ; 1911 ; 191 ; m ; 1983 ;  ; 8084
CAVA_DB ; CON_001 ; SW Cornwall Churchtown ; SW ; Cornwall ; Churchtown ;  ; 1895 ; 189 ; m ;  ; 198 ; 3036
CAVA_HJ ; CON_002 ; SW Cornwall Carnelloe ; SW ; Cornwall ; Carnelloe ;  ;  ;  ; f ;  ; 198 ; 4058
CAVA_PV ; CON_003 ; SW Cornwall St._Ives ; SW ; Cornwall ; St._Ives ; 86 ; 1892 ; 189 ; m ; 1978 ; 198 ; 5684
Inf ; CON_003 ; SW Cornwall St._Ives ; SW ; Cornwall ; St._Ives ;  ;  ;  ;  ; 1978 ; 198 ; 
CAVA_TC ; CON_004 ; SW Cornwall St._Ives ; SW ; Cornwall ; St._Ives ;  ;  ;  ; m ;  ; 197 ; 1831
CAVA_WJB ; CON_005 ; SW Cornwall Gurnards_Head ; SW ; Cornwall ; Gurnards_Head ; 74 ; 1904 ; 190 ; m ; 1978 ; 198 ; 7597
CAVA_WW ; CON_006 ; SW Cornwall Pendeen ; SW ; Cornwall ; Pendeen ;  ;  ; 190 ; m ; 1979 ; 197 ; 4905
CW ; CON_006 ; SW Cornwall Pendeen ; SW ; Cornwall ; Pendeen ;  ;  ;  ; f ; 1979 ; 197 ; 3
ICS_JE ; CON_007 ; SW Cornwall St._Just ; SW ; Cornwall ; St._Just ; 59 ; 1920 ; 192 ; m ; 1979 ; 197 ; 10857
ICS_JP ; CON_008 ; SW Cornwall Heamoor ; SW ; Cornwall ; Heamoor ;  ;  ;  ; m ; 1979 ; 197 ; 9298
ICS_EW ; CON_009 ; SW Cornwall Ludgvan ; SW ; Cornwall ; Ludgvan ; 66 ; 1914 ; 191 ; m ; 1980 ; 197 ; 6739
ICS_MW ; CON_009 ; SW Cornwall Ludgvan ; SW ; Cornwall ; Ludgvan ; 68 ; 1912 ; 191 ; f ; 1980 ; 197 ; 2662
ICS_RM ; CON_010 ; SW Cornwall Gulval ; SW ; Cornwall ; Gulval ; 70 ; 1910 ; 191 ; m ; 1980 ; 198 ; 8630
CorJLN ; CON_011 ; SW Cornwall Sennen ; SW ; Cornwall ; Sennen ; 69 ; 1910 ; 191 ; m ; 1979 ; 198 ; 37078
CorPO ; CON_012 ; SW Cornwall Nancledra ; SW ; Cornwall ; Nancledra ; 64 ; 1915 ; 191 ; m ; 1979 ; 197 ; 396
TCA_RA ; DEV_001 ; SW Devon Blackawton ; SW ; Devon ; Blackawton ; 76 ; 1909 ; 190 ; m ; 1985 ; 197 ; 10229
unknown ; DEV_001 ; SW Devon Blackawton ; SW ; Devon ; Blackawton ;  ;  ;  ; f ; 1985 ; 197 ; 
TCA_GB ; DEV_002 ; SW Devon Galmpton ; SW ; Devon ; Galmpton ;  ; 1900 ; 190 ; m ;  ; 198 ; 5591
TCA_EC ; DEV_003 ; SW Devon Brixham ; SW ; Devon ; Brixham ;  ;  ;  ; f ;  ; 198 ; 4891
TCA_C ; DEV_003 ; SW Devon Brixham ; SW ; Devon ; Brixham ;  ;  ;  ; m ;  ; 198 ; 1723
TCA_SC ; DEV_004 ; SW Devon Totnes ; SW ; Devon ; Totnes ;  ;  ;  ; m ; 1985 ; 198 ; 4728
DEV004anonymous ; DEV_004 ; SW Devon Totnes ; SW ; Devon ; Totnes ;  ;  ;  ;  ; 1985 ; 198 ; 52
TCA_FP ; DEV_005 ; SW Devon Totnes ; SW ; Devon ; Totnes ; 82 ; 1902 ; 190 ; m ; 1984 ; 198 ; 10978
TCA_GR ; DEV_006 ; SW Devon Dartmouth ; SW ; Devon ; Dartmouth ; 83 ; 1901 ; 190 ; m ; 1984 ; 198 ; 7521
TCA_EA ; DEV_007 ; SW Devon Totnes ; SW ; Devon ; Totnes ; 93 ; 1892 ; 189 ; f ; 1985 ; 198 ; 8955
TCA_FK ; DEV_008 ; SW Devon Totnes ; SW ; Devon ; Totnes ;  ; 1910 ; 191 ; m ;  ; 198 ; 8384
TCA_K ; DEV_008 ; SW Devon Totnes ; SW ; Devon ; Totnes ;  ;  ;  ; f ;  ; 198 ; 4163
TCA_WH ; DEV_009 ; SW Devon Totnes ; SW ; Devon ; Totnes ; 79 ; 1906 ; 190 ; m ; 1985 ;  ; 11368
TCA_WC ; DEV_010 ; SW Devon Buckfast ; SW ; Devon ; Buckfast ;  ; 1913 ; 191 ; f ;  ; 198 ; 9666
TCA_PR ; DEV_011 ; SW Devon Blackawton ; SW ; Devon ; Blackawton ; 87 ; 1898 ; 189 ; m ; 1985 ;  ; 3722
TCA_DR ; DEV_011 ; SW Devon Blackawton ; SW ; Devon ; Blackawton ;  ;  ;  ; f ; 1985 ;  ; 501
FP ; OXF_001 ; SW Oxfordshire Leafield ; SW ; Oxfordshire ; Leafield ; 81 ; 1891 ; 189 ; m ; 1972 ; 198 ; 3503
BF ; OXF_001 ; SW Oxfordshire Leafield ; SW ; Oxfordshire ; Leafield ; 73 ; 1899 ; 189 ; m ; 1972 ; 198 ; 2984
GW ; OXF_002 ; SW Oxfordshire Leafield ; SW ; Oxfordshire ; Leafield ; 102 ; 1877 ; 187 ; m ; 1979 ; 197 ; 7023
XW ; OXF_002 ; SW Oxfordshire Leafield ; SW ; Oxfordshire ; Leafield ;  ;  ;  ; f ; 1979 ; 197 ; 590
SRLM_HR ; SOM_001 ; SW Somerset West_Stoughton ; SW ; Somerset ; West_Stoughton ;  ;  ;  ; m ; 1983 ; 197 ; 5447
SRLM_PG ; SOM_002 ; SW Somerset  ; SW ; Somerset ;  ;  ;  ;  ; m ; 1983 ; 198 ; 3574
SRLM_B ; SOM_003 ; SW Somerset Babcary ; SW ; Somerset ; Babcary ; 86 ; 1897 ; 189 ; m ; 1983 ; 198 ; 3662
SRLM_CK ; SOM_004 ; SW Somerset North_Burrowbridge ; SW ; Somerset ; North_Burrowbridge ; 71 ; 1916 ; 191 ; m ; 1987 ; 198 ; 4983
SRLM_RF ; SOM_005 ; SW Somerset Street ; SW ; Somerset ; Street ; 76 ; 1905 ; 190 ; m ; 1981 ; 198 ; 7543
SRLM_AW ; SOM_006 ; SW Somerset Sunnyside ; SW ; Somerset ; Sunnyside ; 89 ; 1894 ; 189 ; m ; 1982 ; 198 ; 4274
SRLM_PT ; SOM_007 ; SW Somerset Evercreech ; SW ; Somerset ; Evercreech ; 82 ; 1898 ; 189 ; m ; 1980 ; 198 ; 6321
wife ; SOM_007 ; SW Somerset Evercreech ; SW ; Somerset ; Evercreech ;  ;  ;  ; f ; 1980 ; 198 ; 88
